Num_Acc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long,catr,voie,v1,v2,circ,nbv,vosp,prof,pr,pr1,plan,lartpc,larrout,surf,infra,situ,vma,id_vehicule_x,num_veh_x,senc,catv,obs,obsm,choc,manv,motor,occutc,id_usager_x,id_vehicule_y,num_veh_y,place_x,catu_x,grav_x,sexe_x,an_nais_x,trajet_x,secu1_x,secu2_x,secu3_x,locp_x,actp_x,etatp_x,id_usager_y,id_vehicule,num_veh,place_y,catu_y,grav_y,sexe_y,an_nais_y,trajet_y,secu1_y,secu2_y,secu3_y,locp_y,actp_y,etatp_y,id_usager,place,catu,grav,sexe,an_nais,trajet,secu1,secu2,secu3,locp,actp,etatp
202200003203,3.0,6.0,2022.0,14:45,1.0,69,69385,2.0,3.0,1.0,3.0,Rue des Farges,45.75608,4.8191,4.0,FARGES (DES)                        (R ),0.0,,2.0,2,0.0,2.0,(1),(1),1.0,, -1,1.0,0.0,1.0,30.0,808 289,B01,1.0,1.0,0.0,2.0,1.0,1.0,0.0,,1 092 130,808 287,A01,1.0,1.0,1.0,2.0,1997.0,5.0,1.0,-1.0,-1.0,0.0,0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202200003203,3.0,6.0,2022.0,14:45,1.0,69,69385,2.0,3.0,1.0,3.0,Rue des Farges,45.75608,4.8191,4.0,FARGES (DES)                        (R ),0.0,,2.0,2,0.0,2.0,(1),(1),1.0,, -1,1.0,0.0,1.0,30.0,808 289,B01,1.0,1.0,0.0,2.0,1.0,1.0,0.0,,1 092 131,808 287,A01,2.0,2.0,1.0,2.0,1987.0,5.0,1.0,8.0,-1.0,0.0,0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202200003203,3.0,6.0,2022.0,14:45,1.0,69,69385,2.0,3.0,1.0,3.0,Rue des Farges,45.75608,4.8191,4.0,FARGES (DES)                        (R ),0.0,,2.0,2,0.0,2.0,(1),(1),1.0,, -1,1.0,0.0,1.0,30.0,808 289,B01,1.0,1.0,0.0,2.0,1.0,1.0,0.0,,1 092 133,808 289,B01,1.0,1.0,4.0,1.0,1980.0,5.0,2.0,-1.0,-1.0,0.0,0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202200003427,22.0,3.0,2022.0,08:30,1.0,69,69276,2.0,6.0,1.0,3.0,Rue des Naives,45.67654,4.87043,4.0,NAIVES (DES)                            ,0.0,,2.0,2,0.0,1.0,(1),(1),1.0,, -1,1.0,0.0,1.0,30.0,807 901,B01,3.0,1.0,0.0,2.0,1.0,25.0,5.0,,1 091 616,807 901,B01,1.0,1.0,4.0,1.0,2012.0,2.0,8.0,-1.0,-1.0,-1.0, -1,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202200003427,22.0,3.0,2022.0,08:30,1.0,69,69276,2.0,6.0,1.0,3.0,Rue des Naives,45.67654,4.87043,4.0,NAIVES (DES)                            ,0.0,,2.0,2,0.0,1.0,(1),(1),1.0,, -1,1.0,0.0,1.0,30.0,807 901,B01,3.0,1.0,0.0,2.0,1.0,25.0,5.0,,1 091 620,807 905,A01,1.0,1.0,1.0,1.0,1973.0,1.0,1.0,-1.0,-1.0,-1.0, -1,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202200004226,12.0,9.0,2022.0,17:30,1.0,69,69149,2.0,3.0,1.0,1.0,52 Rue Louis Aulagne,45.71145,4.81641,7.0,LOUIS AULAGNE                       (R ),0.0,,1.0,1,2.0,1.0,0,700,1.0,, -1,1.0,0.0,1.0,50.0,806 459,B01,1.0,1.0,0.0,2.0,1.0,0.0,5.0,,1 089 664,806 459,B01,1.0,1.0,4.0,2.0,1988.0,0.0,2.0,4.0,-1.0,0.0,0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202200004226,12.0,9.0,2022.0,17:30,1.0,69,69149,2.0,3.0,1.0,1.0,52 Rue Louis Aulagne,45.71145,4.81641,7.0,LOUIS AULAGNE                       (R ),0.0,,1.0,1,2.0,1.0,0,700,1.0,, -1,1.0,0.0,1.0,50.0,806 459,B01,1.0,1.0,0.0,2.0,1.0,0.0,5.0,,1 089 665,806 460,A01,1.0,1.0,1.0,2.0,1995.0,0.0,1.0,-1.0,-1.0,0.0,0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202200004254,17.0,10.0,2022.0,18:45,2.0,69,69382,2.0,1.0,1.0,3.0,20 Place Antonin Poncet,45.7558826413,4.8351028562,4.0,ANTONIN PONCET                      (PL),0.0,,1.0,2,3.0,1.0,(1),(1),1.0,, -1,1.0,0.0,1.0,50.0,806 411,B01,3.0,1.0,0.0,2.0,7.0,1.0,5.0,,1 089 599,806 411,B01,1.0,1.0,4.0,2.0,1982.0,5.0,8.0,-1.0,-1.0,0.0,0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202200004254,17.0,10.0,2022.0,18:45,2.0,69,69382,2.0,1.0,1.0,3.0,20 Place Antonin Poncet,45.7558826413,4.8351028562,4.0,ANTONIN PONCET                      (PL),0.0,,1.0,2,3.0,1.0,(1),(1),1.0,, -1,1.0,0.0,1.0,50.0,806 411,B01,3.0,1.0,0.0,2.0,7.0,1.0,5.0,,1 089 601,806 413,A01,1.0,1.0,1.0,1.0,2000.0,5.0,2.0,6.0,-1.0,-1.0, -1,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202200004294,17.0,10.0,2022.0,08:20,1.0,69,69266,2.0,2.0,7.0,1.0,Rue Antonin Perrin,45.75808,4.8852,4.0,ANTONIN PERRIN     (Rue),0.0,,2.0,2,2.0,1.0,(1),(1),1.0,, -1,1.0,0.0,1.0,50.0,806 335,B01,3.0,1.0,0.0,2.0,0.0,0.0,0.0,,1 089 501,806 335,B01,1.0,1.0,4.0,1.0,2000.0,1.0,8.0,-1.0,-1.0,0.0,0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
